frame,avg_pxl diff,std_pxl,avg_angle_diff,std_angle
1,0.0026543833874322154,0.013034922264095571,0.9887932622687443,1.7890495025390631
2,2.0250933463771874,39.920432344598034,2.979759708968441,2.011886784761903
3,0.5335571920186905,6.058235499989917,3.4877442624180013,1.862600506958675
4,0.20723596087408067,1.0830114674081766,2.188522291866227,2.125411792598298
5,0.7905740084630062,7.761377729136918,3.098778506823324,1.716389182786737
6,0.14005670703776713,0.5246665778916799,0.9327198302049132,1.6328789179508565
7,1.5773781197419232,42.88114280628509,2.066154657871147,1.9898773815794992
8,0.8318323023741621,20.203931585731816,1.5421556484219447,1.9723967921812737
9,0.20457376956602238,0.5817157630266803,3.4761571515025387,1.4938801214756565
10,0.17051240595627795,1.098804366766939,1.8984843144371841,1.990205276253853
11,0.30657598950274023,2.7085031823334966,3.217712812429659,1.6303603206877664
12,0.30340273253269034,3.4114435706124993,3.2793274798646546,1.7691697748921262
13,0.1929258203910968,0.5035323400001331,3.450571839235557,2.026146517776911
14,1.640129885622856,43.66783826028692,1.948724876452903,2.3247301746634297
15,0.2745160892489049,1.6530053166941954,3.5525481036588453,2.242781869100831
16,0.9375005063602113,24.197812905630038,1.7294334340041537,2.249111987126768
17,0.4499411606129062,6.336981268525333,3.792969491442114,1.8057854152650095
18,1.6276332940651241,41.810887142185244,2.0309415818629435,2.2773351263326402
19,1.565434207133563,39.321943309773694,3.642109386220082,1.7413462065548555
20,3.4228038424795777,63.03602617825607,3.777651727797179,1.639766130329524
21,0.48499077774069765,7.484932306647418,3.7817190682408404,1.9789240731904394
22,0.22557922648614193,1.525823693831157,3.572517569421939,2.075669306567155
23,0.2974578169209175,1.1591695593335785,4.423747769307883,1.3210508016285503
24,0.9527387103595056,17.01957055750653,4.451271409743939,1.5841683403358442
25,2.86572374385437,44.16465340260433,4.504963767548419,1.3124758134229062
26,0.6265243546704585,2.592056061074918,4.55194299561681,1.2496113827691997
27,4.5708424262151786,68.21002295780225,4.477817255721825,1.05414365883771
28,1.0677307479878841,6.595096993121714,4.500651236486552,1.0415641000945854
29,2.472382889653505,39.64063725704981,4.499174557553228,1.1199372843361746
30,0.7441087423413232,1.0880906877184846,4.423197324853022,1.2740742300750965
31,2.68679366015102,36.32917006043726,4.739357873364499,0.9310160219463763
32,2.2817196585785555,24.478613541587087,4.392583771361453,1.5460276435929334
33,0.9634704326060738,0.709628985194302,4.657949002009448,1.210766984646455
34,2.0942586674070207,29.256378381623072,4.630158335886548,1.3406913858939404
35,3.10211120971083,51.08889177749919,4.461100484478168,1.3775311654241527
36,1.3184564528327918,6.760903046866922,4.460821389736608,1.4109111484569599
37,5.505747712815042,71.4950056609053,4.731049686620974,1.1468540304197667
38,2.3731541906846845,24.154343823782906,4.326612210473318,1.5976018019929372
